question_id,task,expected_answer,actual_answer,score
Arithmetic-Relationship__case_695,Arithmetic-Relationship,"[""G=C+E+F""]",[],0.0
Arithmetic-Relationship__case_111,Arithmetic-Relationship,"[""P=N/O""]",[],0.0
Arithmetic-Relationship__case_3,Arithmetic-Relationship,"[""I=F*G"", ""J=F*H""]",[],0.0
Arithmetic-Relationship__case_820,Arithmetic-Relationship,"[""CJ=CH-CI""]",[],0.0
Arithmetic-Relationship__case_288,Arithmetic-Relationship,"[""D=B-C""]",[],0.0
Arithmetic-Relationship__case_236,Arithmetic-Relationship,"[""F=D+E""]",[],0.0
Arithmetic-Relationship__case_219,Arithmetic-Relationship,"[""F=D-E""]",[],0.0
Arithmetic-Relationship__case_134,Arithmetic-Relationship,"[""F=B+C+E""]",[],0.0
Arithmetic-Relationship__case_805,Arithmetic-Relationship,"[""D=B+C"", ""G=E+F"", ""H=B+E"", ""J=H+I""]",[],0.0
Arithmetic-Relationship__case_102,Arithmetic-Relationship,"[""O=N-M""]",[],0.0
Arithmetic-Relationship__case_743,Arithmetic-Relationship,"[""D=C-B""]",[],0.0
Arithmetic-Relationship__case_865,Arithmetic-Relationship,"[""W=V/U""]",[],0.0
Arithmetic-Relationship__case_595,Arithmetic-Relationship,"[""F=G/E""]",[],0.0
Arithmetic-Relationship__case_101,Arithmetic-Relationship,"[""O=N-M""]",[],0.0
Arithmetic-Relationship__case_644,Arithmetic-Relationship,[],[],
Arithmetic-Relationship__case_462,Arithmetic-Relationship,"[""D=C/B""]",[],0.0
Arithmetic-Relationship__case_36,Arithmetic-Relationship,[],[],
Arithmetic-Relationship__case_28,Arithmetic-Relationship,[],[],
Arithmetic-Relationship__case_105,Arithmetic-Relationship,"[""O=N-M""]",[],0.0
Arithmetic-Relationship__case_210,Arithmetic-Relationship,"[""D=B-C""]",[],0.0
Arithmetic-Relationship__case_228,Arithmetic-Relationship,[],[],
Arithmetic-Relationship__case_526,Arithmetic-Relationship,"[""H=F+G"", ""K=I+J"", ""O=M+N"", ""L=E+H+K""]",[],0.0
Arithmetic-Relationship__case_648,Arithmetic-Relationship,"[""I=H-G""]",[],0.0
Arithmetic-Relationship__case_871,Arithmetic-Relationship,"[""H=F+G"", ""I=G/E""]",[],0.0
Arithmetic-Relationship__case_617,Arithmetic-Relationship,"[""F=B-D""]",[],0.0
Data-transform-reshape__multistep_test2,Data-transform-reshape,"[{""operator"": ""ffill"", ""ffill_end_idx"": 0}, {""operator"": ""stack"", ""stack_start_idx"": 2, ""stack_end_idx"": 4}]","[{""wide_to_long_start_idx"": 2, ""wide_to_long_end_idx"": 5, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__wide_to_long_test8,Data-transform-reshape,"[{""operator"": ""wide_to_long"", ""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 6}]","[{""pivot_row_frequency"": 3, ""operator"": ""pivot""}]",0.0
Data-transform-reshape__transpose_test27,Data-transform-reshape,"[{""operator"": ""transpose""}]","[{""stack_start_idx"": 1, ""stack_end_idx"": 3, ""operator"": ""subtitle""}]",0.0
Data-transform-reshape__stack_test53,Data-transform-reshape,"[{""operator"": ""stack"", ""stack_start_idx"": 0, ""stack_end_idx"": 3}]","[{""wide_to_long_start_idx"": 0, ""wide_to_long_end_idx"": 4, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__pivot_test1,Data-transform-reshape,"[{""operator"": ""pivot"", ""pivot_row_frequency"": 3}]","[{""stack_start_idx"": 1, ""stack_end_idx"": 2, ""operator"": ""stack""}]",0.0
Data-transform-reshape__subtitle_test17,Data-transform-reshape,"[{""operator"": ""subtitle""}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 7, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__wide_to_long_test11,Data-transform-reshape,"[{""operator"": ""wide_to_long"", ""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 6}]","[{""stack_start_idx"": 0, ""stack_end_idx"": 6, ""operator"": ""transpose""}]",0.0
Data-transform-reshape__pivot_test6,Data-transform-reshape,"[{""operator"": ""pivot"", ""pivot_row_frequency"": 4}]","[{""stack_start_idx"": 0, ""stack_end_idx"": 0, ""operator"": ""subtitle""}]",0.0
Data-transform-reshape__explode_test25,Data-transform-reshape,"[{""operator"": ""explode"", ""explode_column_idx"": 1}]","[{""explode_column_idx"": 1, ""operator"": ""explode""}]",1.0
Data-transform-reshape__ffill_test16,Data-transform-reshape,"[{""operator"": ""ffill"", ""ffill_end_idx"": 0}]","[{""wide_to_long_start_idx"": 0, ""wide_to_long_end_idx"": 3, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__stack_test50,Data-transform-reshape,"[{""operator"": ""stack"", ""stack_start_idx"": 2, ""stack_end_idx"": 11}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 11, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__stack_test36,Data-transform-reshape,"[{""operator"": ""stack"", ""stack_start_idx"": 1, ""stack_end_idx"": 3}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 2, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__wide_to_long_test33,Data-transform-reshape,"[{""operator"": ""wide_to_long"", ""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 9}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 9, ""operator"": ""wide_to_long""}]",1.0
